primary_label,common_name,scientific_name,class_name,n_positive,perch_mapped,auc_base,auc_final
wesfie1,Western Fire-eye,Pyriglena maura,Aves,0,True,,
wfwduc1,White-faced Whistling Duck,Dendrocygna viduata,Aves,1,True,1.0,1.0
whbant2,White-bearded Antshrike,Biatas nigropectus,Aves,0,True,,
whbwar2,White-browed Warbler,Myiothlypis leucoblephara,Aves,0,True,,
whiwoo1,White Woodpecker,Melanerpes candidus,Aves,0,True,,
whlspi1,White-lored Spinetail,Synallaxis albilora,Aves,0,True,,
whnjay1,White-naped Jay,Cyanocorax cyanopogon,Aves,0,True,,
whtdov,White-tipped Dove,Leptotila verreauxi,Aves,63,True,0.9611664820967146,0.9165743816906607
whwpic1,White-wedged Piculet,Picumnus albosquamatus,Aves,0,True,,
y00678,Crested Caracara,Caracara plancus,Aves,0,True,,
yebcar,Yellow-billed Cardinal,Paroaria capitata,Aves,0,True,,
yebela1,Yellow-bellied Elaenia,Elaenia flavogaster,Aves,0,True,,
yecmac,Golden-collared Macaw,Primolius auricollis,Aves,0,True,,
yecpar,Yellow-chevroned Parakeet,Brotogeris chiriri,Aves,0,True,,
yehcar1,Yellow-headed Caracara,Daptrius chimachima,Aves,0,True,,
yeofly1,Yellow-olive Flatbill,Tolmomyias sulphurescens,Aves,0,True,,
